file,device,color,state,sourceWidth,sourceHeight,contentX,contentY,contentWidth,contentHeight,outputSize,duplicateOf
OPPO Enco Air4__霜白__earbuds_pair_001.png,OPPO Enco Air4,霜白,earbuds_pair,1440,1440,153,407,1154,756,1154,
OPPO Enco Air4__霜白__earbuds_with_case_001.png,OPPO Enco Air4,霜白,earbuds_with_case,1440,1440,294,224,860,1120,1120,
OPPO Enco Air4__霜白__earbuds_with_case_002.png,OPPO Enco Air4,霜白,earbuds_with_case,1440,1440,294,224,860,1120,,OPPO Enco Air4__霜白__earbuds_with_case_001.png
OPPO Enco Air4__霜白__open_case_001.png,OPPO Enco Air4,霜白,open_case,1440,1440,219,351,1038,848,1038,
OPPO Enco Air4i__玄岩黑__earbuds_pair_001.png,OPPO Enco Air4i,玄岩黑,earbuds_pair,1440,1440,313,508,813,604,814,
OPPO Enco Air4i__玄岩黑__earbuds_with_case_001.png,OPPO Enco Air4i,玄岩黑,earbuds_with_case,1440,1440,282,200,876,1122,1185,
OPPO Enco Air4i__玄岩黑__earbuds_with_case_002.png,OPPO Enco Air4i,玄岩黑,earbuds_with_case,1440,1440,258,128,923,1184,,OPPO Enco Air4i__玄岩黑__earbuds_with_case_001.png
OPPO Enco Air4i__玉瓷白__earbuds_pair_001.png,OPPO Enco Air4i,玉瓷白,earbuds_pair,1440,1440,313,508,814,604,814,
OPPO Enco Air4i__玉瓷白__earbuds_with_case_001.png,OPPO Enco Air4i,玉瓷白,earbuds_with_case,1440,1440,282,199,875,1123,1185,
OPPO Enco Air4i__玉瓷白__earbuds_with_case_002.png,OPPO Enco Air4i,玉瓷白,earbuds_with_case,1440,1440,258,127,923,1185,1185,
OPPO Enco Air5 Pro__月珀白__earbuds_pair_001.png,OPPO Enco Air5 Pro,月珀白,earbuds_pair,1440,1440,157,334,1141,836,1163,
OPPO Enco Air5 Pro__月珀白__earbuds_with_case_001.png,OPPO Enco Air5 Pro,月珀白,earbuds_with_case,1440,1440,331,220,763,1016,1016,
OPPO Enco Air5 Pro__月珀白__open_case_001.png,OPPO Enco Air5 Pro,月珀白,open_case,1440,1440,206,325,1028,863,1028,
OPPO Enco Air5 Pro__月珀白__open_case_002.png,OPPO Enco Air5 Pro,月珀白,open_case,1440,1440,206,306,1028,863,,OPPO Enco Air5 Pro__月珀白__open_case_001.png
OPPO Enco Air5 Pro__雾夜黑__earbuds_pair_001.png,OPPO Enco Air5 Pro,雾夜黑,earbuds_pair,1440,1440,146,315,1163,851,1163,
OPPO Enco Air5 Pro__雾夜黑__earbuds_with_case_001.png,OPPO Enco Air5 Pro,雾夜黑,earbuds_with_case,1440,1440,331,220,763,1016,1016,
OPPO Enco Air5 Pro__雾夜黑__open_case_001.png,OPPO Enco Air5 Pro,雾夜黑,open_case,1440,1440,207,319,1028,863,1028,
OPPO Enco Air5 Pro__雾夜黑__open_case_002.png,OPPO Enco Air5 Pro,雾夜黑,open_case,1440,1440,207,306,1028,863,,OPPO Enco Air5 Pro__雾夜黑__open_case_001.png
OPPO Enco Air5__星釉白__earbuds_pair_001.png,OPPO Enco Air5,星釉白,earbuds_pair,1440,1440,158,477,1125,734,1127,
OPPO Enco Air5__星釉白__open_case_001.png,OPPO Enco Air5,星釉白,open_case,1440,1440,151,364,1139,910,1141,
OPPO Enco Air5__星釉白__open_case_002.png,OPPO Enco Air5,星釉白,open_case,1440,1440,151,315,1138,910,,OPPO Enco Air5__星釉白__open_case_001.png
OPPO Enco Air5__星釉白__open_case_003.png,OPPO Enco Air5,星釉白,open_case,1440,1440,277,236,921,1045,1141,
OPPO Enco Air5__暮云紫__earbuds_pair_001.png,OPPO Enco Air5,暮云紫,earbuds_pair,1440,1440,158,477,1125,734,1127,
OPPO Enco Air5__暮云紫__earbuds_with_case_001.png,OPPO Enco Air5,暮云紫,earbuds_with_case,1440,1440,293,180,855,1122,1122,
OPPO Enco Air5__暮云紫__open_case_001.png,OPPO Enco Air5,暮云紫,open_case,1440,1440,151,364,1139,910,1141,
OPPO Enco Air5__暮云紫__open_case_002.png,OPPO Enco Air5,暮云紫,open_case,1440,1440,151,315,1138,910,,OPPO Enco Air5__暮云紫__open_case_001.png
OPPO Enco Air5__玄岩黑__earbuds_pair_001.png,OPPO Enco Air5,玄岩黑,earbuds_pair,1440,1440,157,475,1127,736,1127,
OPPO Enco Air5__玄岩黑__earbuds_with_case_001.png,OPPO Enco Air5,玄岩黑,earbuds_with_case,1440,1440,277,234,923,1048,1122,
OPPO Enco Air5__玄岩黑__open_case_001.png,OPPO Enco Air5,玄岩黑,open_case,1440,1440,150,363,1141,912,1141,
OPPO Enco Air5__玄岩黑__open_case_002.png,OPPO Enco Air5,玄岩黑,open_case,1440,1440,151,315,1138,910,1141,
OPPO Enco Air5s__星光版 星光紫__closed_case_001.png,OPPO Enco Air5s,星光版 星光紫,closed_case,1440,1440,210,229,1014,1109,1112,
OPPO Enco Air5s__星光版 星光紫__earbuds_with_case_001.png,OPPO Enco Air5s,星光版 星光紫,earbuds_with_case,1440,1440,308,129,918,1288,1288,
OPPO Enco Air5s__星光版 星光紫__open_case_001.png,OPPO Enco Air5s,星光版 星光紫,open_case,1440,1440,210,288,1013,1051,1054,
OPPO Enco Air5s__星光版 星光紫__open_case_002.png,OPPO Enco Air5s,星光版 星光紫,open_case,1440,1440,210,221,1013,1051,,OPPO Enco Air5s__星光版 星光紫__open_case_001.png
OPPO Enco Air5s__暗夜黑__closed_case_001.png,OPPO Enco Air5s,暗夜黑,closed_case,1440,1440,189,269,1011,1108,1112,
OPPO Enco Air5s__暗夜黑__earbuds_with_case_001.png,OPPO Enco Air5s,暗夜黑,earbuds_with_case,1440,1440,381,158,703,1183,1288,
OPPO Enco Air5s__暗夜黑__open_case_001.png,OPPO Enco Air5s,暗夜黑,open_case,1440,1440,211,286,1018,1054,1054,
OPPO Enco Air5s__暗夜黑__open_case_002.png,OPPO Enco Air5s,暗夜黑,open_case,1440,1440,211,219,1018,1054,,OPPO Enco Air5s__暗夜黑__open_case_001.png
OPPO Enco Air5s__月光白__closed_case_001.png,OPPO Enco Air5s,月光白,closed_case,1440,1440,212,228,1016,1112,1112,
OPPO Enco Air5s__月光白__earbuds_with_case_001.png,OPPO Enco Air5s,月光白,earbuds_with_case,1440,1440,361,127,729,1219,1288,
OPPO Enco Air5s__月光白__open_case_001.png,OPPO Enco Air5s,月光白,open_case,1440,1440,211,286,1017,1054,1054,
OPPO Enco Air5s__月光白__open_case_002.png,OPPO Enco Air5s,月光白,open_case,1440,1440,211,219,1017,1054,,OPPO Enco Air5s__月光白__open_case_001.png
OPPO Enco Clip2 开放式耳机__深空灰__closed_case_001.png,OPPO Enco Clip2 开放式耳机,深空灰,closed_case,1440,1440,181,322,1078,972,1078,
OPPO Enco Clip2 开放式耳机__深空灰__earbuds_pair_001.png,OPPO Enco Clip2 开放式耳机,深空灰,earbuds_pair,1440,1440,68,521,1304,567,1304,
OPPO Enco Clip2 开放式耳机__深空灰__open_case_001.png,OPPO Enco Clip2 开放式耳机,深空灰,open_case,1440,1440,216,313,1008,981,1008,
OPPO Enco Clip2 开放式耳机__深空灰__open_case_002.png,OPPO Enco Clip2 开放式耳机,深空灰,open_case,1440,1440,216,230,1008,981,,OPPO Enco Clip2 开放式耳机__深空灰__open_case_001.png
OPPO Enco Clip2 开放式耳机__高光金__closed_case_001.png,OPPO Enco Clip2 开放式耳机,高光金,closed_case,1440,1440,181,322,1078,972,1078,
OPPO Enco Clip2 开放式耳机__高光金__earbuds_pair_001.png,OPPO Enco Clip2 开放式耳机,高光金,earbuds_pair,1440,1440,68,521,1304,567,1304,
OPPO Enco Clip2 开放式耳机__高光金__open_case_001.png,OPPO Enco Clip2 开放式耳机,高光金,open_case,1440,1440,216,313,1008,981,1008,
OPPO Enco Clip2 开放式耳机__高光金__open_case_002.png,OPPO Enco Clip2 开放式耳机,高光金,open_case,1440,1440,216,229,1008,981,,OPPO Enco Clip2 开放式耳机__高光金__open_case_001.png
OPPO Enco Free4__丹拿版 星瀚银__closed_case_001.png,OPPO Enco Free4,丹拿版 星瀚银,closed_case,1440,1440,168,307,1099,878,1099,
OPPO Enco Free4__丹拿版 星瀚银__earbuds_pair_001.png,OPPO Enco Free4,丹拿版 星瀚银,earbuds_pair,1440,1440,165,319,1104,851,1104,
OPPO Enco Free4__丹拿版 星瀚银__open_case_001.png,OPPO Enco Free4,丹拿版 星瀚银,open_case,1440,1440,181,244,1078,972,1080,
OPPO Enco Free4__水漾蓝__closed_case_001.png,OPPO Enco Free4,水漾蓝,closed_case,1440,1440,168,307,1099,878,1099,
OPPO Enco Free4__水漾蓝__earbuds_pair_001.png,OPPO Enco Free4,水漾蓝,earbuds_pair,1440,1440,166,318,1104,851,1104,
OPPO Enco Free4__水漾蓝__open_case_001.png,OPPO Enco Free4,水漾蓝,open_case,1440,1440,181,244,1078,972,1080,
OPPO Enco Free4__珠光白__closed_case_001.png,OPPO Enco Free4,珠光白,closed_case,1440,1440,169,308,1098,876,1099,
OPPO Enco Free4__珠光白__earbuds_pair_001.png,OPPO Enco Free4,珠光白,earbuds_pair,1440,1440,167,317,1103,851,1104,
OPPO Enco Free4__珠光白__open_case_001.png,OPPO Enco Free4,珠光白,open_case,1440,1440,182,245,1080,972,1080,
OPPO Enco R3 Pro__星闪白__earbuds_pair_001.png,OPPO Enco R3 Pro,星闪白,earbuds_pair,1440,1440,108,382,1244,815,1244,
OPPO Enco R3 Pro__星闪白__earbuds_with_case_001.png,OPPO Enco R3 Pro,星闪白,earbuds_with_case,1440,1440,268,192,899,1069,1069,
OPPO Enco R3 Pro__星闪白__open_case_001.png,OPPO Enco R3 Pro,星闪白,open_case,1440,1440,200,349,1041,839,1041,
OPPO Enco R3 Pro__星闪白__open_case_002.png,OPPO Enco R3 Pro,星闪白,open_case,1440,1440,200,349,1041,839,,OPPO Enco R3 Pro__星闪白__open_case_001.png
OPPO Enco R4__云雾白__earbuds_pair_001.png,OPPO Enco R4,云雾白,earbuds_pair,1440,1440,342,443,763,519,763,
OPPO Enco R4__云雾白__earbuds_pair_002.png,OPPO Enco R4,云雾白,earbuds_pair,1440,1440,370,461,719,504,763,
OPPO Enco R4__云雾白__earbuds_with_case_001.png,OPPO Enco R4,云雾白,earbuds_with_case,1440,1440,189,130,983,1141,1175,
OPPO Enco R4__云雾白__earbuds_with_case_002.png,OPPO Enco R4,云雾白,earbuds_with_case,1440,1440,304,102,835,1175,1175,
OPPO Enco R4__云雾白__open_case_001.png,OPPO Enco R4,云雾白,open_case,1440,1440,199,281,1042,915,1042,
OPPO Enco R4__云雾白__open_case_002.png,OPPO Enco R4,云雾白,open_case,1440,1440,199,281,1042,915,,OPPO Enco R4__云雾白__open_case_001.png
OPPO Enco R5__霜月白__earbuds_pair_001.png,OPPO Enco R5,霜月白,earbuds_pair,1440,1440,165,311,1126,840,1126,
OPPO Enco R5__霜月白__earbuds_with_case_001.png,OPPO Enco R5,霜月白,earbuds_with_case,1440,1440,240,117,834,1171,1171,
OPPO Enco R5__霜月白__open_case_001.png,OPPO Enco R5,霜月白,open_case,1440,1440,216,194,967,1048,1048,
OPPO Enco R5__霜月白__open_case_002.png,OPPO Enco R5,霜月白,open_case,1440,1440,263,279,876,949,1048,
OPPO Enco X3__米白__closed_case_001.png,OPPO Enco X3,米白,closed_case,1440,1440,257,361,902,726,902,
OPPO Enco X3__米白__earbuds_pair_001.png,OPPO Enco X3,米白,earbuds_pair,1440,1440,223,333,1018,754,1019,
OPPO Enco X3__米白__earbuds_pair_002.png,OPPO Enco X3,米白,earbuds_pair,1440,1440,223,333,1018,754,,OPPO Enco X3__米白__earbuds_pair_001.png
OPPO Enco X3__米白__earbuds_with_case_001.png,OPPO Enco X3,米白,earbuds_with_case,1440,1440,341,126,765,1179,1179,
OPPO Enco X3__米白__open_case_001.png,OPPO Enco X3,米白,open_case,1440,1440,230,242,979,921,979,
OPPO Enco X3__米白__open_case_002.png,OPPO Enco X3,米白,open_case,1440,1440,230,242,979,921,,OPPO Enco X3__米白__open_case_001.png
OPPO Enco X3__雅黑__closed_case_001.png,OPPO Enco X3,雅黑,closed_case,1440,1440,257,361,902,726,902,
OPPO Enco X3__雅黑__earbuds_pair_001.png,OPPO Enco X3,雅黑,earbuds_pair,1440,1440,223,333,1019,754,1019,
OPPO Enco X3__雅黑__earbuds_with_case_001.png,OPPO Enco X3,雅黑,earbuds_with_case,1440,1440,341,126,765,1179,1179,
OPPO Enco X3__雅黑__open_case_001.png,OPPO Enco X3,雅黑,open_case,1440,1440,230,242,979,921,979,
一加 Buds 3V__晨雾蓝__closed_case_001.png,一加 Buds 3V,晨雾蓝,closed_case,1440,1440,306,473,829,655,829,
一加 Buds 3V__晨雾蓝__earbuds_pair_001.png,一加 Buds 3V,晨雾蓝,earbuds_pair,1440,1440,262,465,918,687,918,
一加 Buds 3V__晨雾蓝__open_case_001.png,一加 Buds 3V,晨雾蓝,open_case,1440,1440,262,365,917,873,1034,
一加 Buds 3V__晨雾蓝__open_case_002.png,一加 Buds 3V,晨雾蓝,open_case,1440,1440,203,229,1034,984,1034,
一加 Buds 3V__极夜黑__closed_case_001.png,一加 Buds 3V,极夜黑,closed_case,1440,1440,306,473,829,655,829,
一加 Buds 3V__极夜黑__earbuds_pair_001.png,一加 Buds 3V,极夜黑,earbuds_pair,1440,1440,262,465,918,687,918,
一加 Buds 3V__极夜黑__open_case_001.png,一加 Buds 3V,极夜黑,open_case,1440,1440,262,365,917,873,1034,
一加 Buds 4__松影绿__closed_case_001.png,一加 Buds 4,松影绿,closed_case,1440,1440,196,420,1048,837,1049,
一加 Buds 4__松影绿__earbuds_pair_001.png,一加 Buds 4,松影绿,earbuds_pair,1440,1440,196,436,1049,807,1049,
一加 Buds 4__松影绿__open_case_001.png,一加 Buds 4,松影绿,open_case,1440,1440,196,367,1049,945,1049,
一加 Buds 4__松影绿__open_case_002.png,一加 Buds 4,松影绿,open_case,1440,1440,196,248,1049,945,,一加 Buds 4__松影绿__open_case_001.png
一加 Buds 4__深空灰__closed_case_001.png,一加 Buds 4,深空灰,closed_case,1440,1440,196,420,1049,838,1049,
一加 Buds 4__深空灰__earbuds_pair_001.png,一加 Buds 4,深空灰,earbuds_pair,1440,1440,196,436,1048,807,1049,
一加 Buds 4__深空灰__open_case_001.png,一加 Buds 4,深空灰,open_case,1440,1440,196,367,1048,945,1049,
一加 Buds 4__深空灰__open_case_002.png,一加 Buds 4,深空灰,open_case,1440,1440,196,248,1048,945,,一加 Buds 4__深空灰__open_case_001.png
一加 Buds Ace 2__潜航黑__earbuds_pair_001.png,一加 Buds Ace 2,潜航黑,earbuds_pair,1440,1440,137,340,1185,776,1185,
一加 Buds Ace 2__潜航黑__earbuds_with_case_001.png,一加 Buds Ace 2,潜航黑,earbuds_with_case,1440,1440,282,152,885,1153,1153,
一加 Buds Ace 2__潜航黑__open_case_001.png,一加 Buds Ace 2,潜航黑,open_case,1440,1440,242,383,990,808,990,
一加 Buds Ace 2__瞬影青__earbuds_pair_001.png,一加 Buds Ace 2,瞬影青,earbuds_pair,1440,1440,137,340,1185,776,1185,
一加 Buds Ace 2__瞬影青__earbuds_with_case_001.png,一加 Buds Ace 2,瞬影青,earbuds_with_case,1440,1440,282,152,885,1153,1153,
一加 Buds Ace 2__瞬影青__open_case_001.png,一加 Buds Ace 2,瞬影青,open_case,1440,1440,242,383,990,807,990,
一加 Buds Ace 3__星际黑__closed_case_001.png,一加 Buds Ace 3,星际黑,closed_case,1440,1440,196,374,1048,868,1048,
一加 Buds Ace 3__星际黑__earbuds_pair_001.png,一加 Buds Ace 3,星际黑,earbuds_pair,1440,1440,195,406,1050,820,1050,
一加 Buds Ace 3__星际黑__open_case_001.png,一加 Buds Ace 3,星际黑,open_case,1440,1440,205,314,1030,970,1030,
一加 Buds Ace 3__星际黑__open_case_002.png,一加 Buds Ace 3,星际黑,open_case,1440,1440,205,254,1030,970,,一加 Buds Ace 3__星际黑__open_case_001.png
一加 Buds Ace 3__钛空银__closed_case_001.png,一加 Buds Ace 3,钛空银,closed_case,1440,1440,196,374,1048,868,1048,
一加 Buds Ace 3__钛空银__earbuds_pair_001.png,一加 Buds Ace 3,钛空银,earbuds_pair,1440,1440,196,406,1048,820,1050,
一加 Buds Ace 3__钛空银__open_case_001.png,一加 Buds Ace 3,钛空银,open_case,1440,1440,205,314,1030,970,1030,
一加 Buds Ace 3__钛空银__open_case_002.png,一加 Buds Ace 3,钛空银,open_case,1440,1440,205,254,1030,970,,一加 Buds Ace 3__钛空银__open_case_001.png
